Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude
Winkies,"Fast Food, Beverages",300," Kavi Nagar, Ghaziabad",4.1,284,615,https://www.zomato.com/ncr/winkies-kavi-nagar-ghaziabad,"4, D Block Market, Kavi Nagar, Ghaziabad",919999000000,28.6750624,77.4417301
Chandni Chowk To Galwan Valley,"North Indian, Mughlai, Chinese, Biryani, Fast Food, Desserts",500," DLF Phase 4, Gurgaon",4.1,219,2739,https://www.zomato.com/ncr/chandni-chowk-to-galwan-valley-dlf-phase-4,"Khasra 48/1, Shiva Market, Chakkarpur, Near Vakil Market, DLF Phase 4, Gurgaon",919910000000,28.47340782,77.08007175
Maestro,"Cafe, Italian, North Indian, Chinese",900," Ashok Vihar Phase 1, New Delhi",4.1,397,1163,https://www.zomato.com/ncr/maestro-ashok-vihar-new-delhi,"B-14, Deep Cinema Complex, Ashok Vihar Phase 1, New Delhi",919812000000,28.69275524,77.17316419
Kamal's,"North Indian, Fast Food, Street Food, Mithai, Beverages",300," Sunder Nagar, New Delhi",4.1,420,4,https://www.zomato.com/ncr/kamals-sunder-nagar-new-delhi,"K-1, Sunder Nagar Market, Sunder Nagar, New Delhi",911124000000,28.60249981,77.2408722
Munch Nation,"North Indian, Chinese, Fast Food",500," Ashok Vihar Phase 3, New Delhi",4.1,650,2270,https://www.zomato.com/ncr/munch-nation-1-ashok-vihar-phase-3-new-delhi,"Shop 5, DDA Market, Ashok Vihar Phase 3, New Delhi",919999000000,28.693226,77.1895383
Biryani By Moumita Biryani Pal,"Biryani, North Indian",500," Palam, New Delhi",4.1,303,4393,https://www.zomato.com/ncr/biryani-by-moumita-biryani-pal-palam-new-delhi,"H-4/7, Kali Bari Road, Bengali Colony, Mahavir Enclave, Palam, New Delhi",919899000000,28.59734691,77.07692653
Standard Burfee,"Mithai, Street Food",200," Karol Bagh, New Delhi",4.1,280,323,https://www.zomato.com/ncr/standard-burfee-karol-bagh-new-delhi,"2750/21, Ajmal Khan Road, Karol Bagh, New Delhi",911129000000,28.65061189,77.19291028
New Udupi Restaurant,"South Indian, Chinese",200," Nehru Nagar, Ghaziabad",4.1,230,227,https://www.zomato.com/ncr/new-udupi-restaurant-nehru-nagar-ghaziabad,"146, New Gandhi Nagar, Near Rotary Club, Nehru Nagar, Ghaziabad",918860000000,28.657931,77.44005
Cafe Purani Dilli,"North Indian, Mughlai, Biryani",600," Punjabi Bagh, New Delhi",4.1,481,12600,https://www.zomato.com/ncr/cafe-purani-dilli-punjabi-bagh-new-delhi,"Shop 12/13, SS Colony, West Avenue Road, Punjabi Bagh, New Delhi",917837000000,28.67106029,77.12463364
Chinese Corner,Chinese,550," Vyapar Kendra, Sushant Lok, Gurgaon",4.1,559,10200,https://www.zomato.com/ncr/chinese-corner-sushant-lok,"174, Ground Floor, Vyapar Kendra, Sushant Lok, Gurgaon",911244000000,28.45998332,77.08393313
The Diet Kitchen,"Continental, Healthy Food, Salad",700," East Patel Nagar, New Delhi",4.1,368,11400,https://www.zomato.com/ncr/the-diet-kitchen-east-patel-nagar-new-delhi,"12/20, Shop 1, Opposite Hari Gokal, East Patel Nagar, New Delhi",911143000000,28.64458805,77.17381395
Slice of Italy,"Pizza, Italian",500," Meharchand Market, Lodhi Colony, New Delhi",4.1,585,8783,https://www.zomato.com/ncr/slice-of-italy-lodhi-colony-new-delhi,"Shop 147, Mehar Chand Market, Lodhi Colony, New Delhi",911140000000,28.58186552,77.22696494
Caspian,"North Indian, Chinese, Biryani",500," Sector 50, Noida",4.1,149,1587,https://www.zomato.com/ncr/caspian-sector-50-noida,"Central Market, Block B, Sector 50, Noida",911204000000,28.57063731,77.36240309
Dayum,"Fast Food, Desserts, Beverages",400," Delhi University-GTB Nagar, New Delhi",4.1,218,151,https://www.zomato.com/ncr/dayum-delhi-university-gtb-nagar-new-delhi,"2528, Ground Floor, Hudson Lane, Delhi University-GTB Nagar, New Delhi",919582000000,28.69452869,77.20416918
Oh My Grill,"North Indian, Chinese",500," Shastri Nagar, Ghaziabad",4.1,216,446,https://www.zomato.com/ncr/oh-my-grill-shastri-nagar-ghaziabad,"J Block, Shastri Nagar, Ghaziabad",919991000000,28.66611816,77.4584597
Tandoor Express,"Mughlai, North Indian, Chinese, Desserts, Beverages",600," Golf Course Road, Gurgaon",4.1,427,10100,https://www.zomato.com/ncr/tandoor-express-golf-course-road,"Opposite HDFC Bank, Rapid Metro Pillar 174, DLF Phase 5, Golf Course Road, Gurgaon",918184000000,28.440334,77.102852
Aandaz Wakhra,"North Indian, Mughlai",600," Spice World Mall, Sector 25, Noida",4.1,456,1194,https://www.zomato.com/ncr/aandaz-wakhra-sector-25-noida,"306, 2nd Floor, Spice World Mall, Sector 25, Noida",919717000000,28.5861707,77.3409025
Cakesisland.com,"Bakery, Desserts",500," Udyog Vihar, Gurgaon",4.1,307,2153,https://www.zomato.com/ncr/cakesislandcom-udyog-vihar,"Opposite Plot 84, Phase 1, Udyog Vihar, Gurgaon",919999000000,28.51299935,77.08023135
